,NOISE,DATASET,MODEL,ERR_AVG,ERR_STD,ERR_MAX,ERR_MIN,LOG_STD
0,0.0,SIMULATION_30_40,FF_8000,1.702844262123108,0.2681533098220825,1.9709975719451904,1.4346909523010254,0.1587951672563999
1,0.0,SIMULATION_30_40,FF_16000,1.7526674270629883,0.1761791706085205,1.9288465976715088,1.5764882564544678,0.10086122781753559
2,0.0,SIMULATION_30_40,FF_32000,1.8196340203285217,0.21282285451889038,2.032456874847412,1.6068111658096313,0.11749688592563803
3,0.0,SIMULATION_30_40,FF_64000,1.870249629020691,0.13076698780059814,2.001016616821289,1.7394826412200928,0.07003381172171774
4,0.0,SIMULATION_30_40,FF_128000,1.3742510378360748,0.4154234826564789,1.7896745204925537,0.958827555179596,0.3120389043954403
5,0.0,SIMULATION_30_40,PIDNN_8000,0.010611040517687798,0.0075427331030368805,0.018153773620724678,0.003068307414650917,0.8888761866298518
6,0.0,SIMULATION_30_40,PIDNN_16000,0.013966428115963936,0.0022298041731119156,0.01619623228907585,0.01173662394285202,0.1610322180740309
7,0.0,SIMULATION_30_40,PIDNN_32000,0.0038270114455372095,0.0015714697074145079,0.005398481152951717,0.0022555417381227016,0.43636373164888154
8,0.0,SIMULATION_30_40,PIDNN_64000,0.006246974458917975,0.0017599847633391619,0.008006959222257137,0.0044869896955788136,0.28956451791517646
9,0.0,SIMULATION_30_40,PIDNN_128000,0.009232220705598593,0.0022478424943983555,0.011480063199996948,0.006984378211200237,0.24846796253976455
10,0.0,SIMULATION_80_90,FF_8000,1.2207182049751282,0.06942516565322876,1.290143370628357,1.1512930393218994,0.05693382973490023
11,0.0,SIMULATION_80_90,FF_16000,1.124462366104126,0.003373384475708008,1.127835750579834,1.121088981628418,0.0030000066677091167
12,0.0,SIMULATION_80_90,FF_32000,1.0808603167533875,0.01883453130722046,1.099694848060608,1.062025785446167,0.01742726392934809
13,0.0,SIMULATION_80_90,FF_64000,1.1206335425376892,0.07681339979171753,1.1974469423294067,1.0438201427459717,0.06865227236686672
14,0.0,SIMULATION_80_90,FF_128000,1.1467326283454895,0.0833318829536438,1.2300645112991333,1.0634007453918457,0.07279729659013476
15,0.0,SIMULATION_80_90,PIDNN_8000,0.03660331480205059,0.00122116319835186,0.03782447800040245,0.03538215160369873,0.03337447909348579
16,0.0,SIMULATION_80_90,PIDNN_16000,0.21992217376828194,0.18429062888026237,0.4042128026485443,0.03563154488801956,1.2143550703209025
17,0.0,SIMULATION_80_90,PIDNN_32000,0.034979457035660744,0.0018304307013750076,0.03680988773703575,0.033149026334285736,0.05237657645261917
18,0.0,SIMULATION_80_90,PIDNN_64000,0.03312964737415314,0.000902276486158371,0.03403192386031151,0.032227370887994766,0.027241451049735188
19,0.0,SIMULATION_80_90,PIDNN_128000,0.11825944110751152,0.07412997260689735,0.19238941371440887,0.044129468500614166,0.7361968675908115
20,0.1,SIMULATION_30_40,FF_8000,1.6898541450500488,0.060622453689575195,1.750476598739624,1.6292316913604736,0.03588977214577574
21,0.1,SIMULATION_30_40,FF_16000,1.89571613073349,0.06806403398513794,1.963780164718628,1.827652096748352,0.035919567694757626
22,0.1,SIMULATION_30_40,FF_32000,1.9951191544532776,0.07691329717636108,2.0720324516296387,1.9182058572769165,0.03856984321160534
23,0.1,SIMULATION_30_40,FF_64000,1.8188269138336182,0.29257965087890625,2.1114065647125244,1.526247262954712,0.162271195308262
24,0.1,SIMULATION_30_40,FF_128000,1.5817065834999084,0.24122828245162964,1.822934865951538,1.3404783010482788,0.15371063732911525
25,0.1,SIMULATION_30_40,PIDNN_8000,0.1004615519195795,0.07352577708661556,0.17398732900619507,0.026935774832963943,0.9327635761350775
26,0.1,SIMULATION_30_40,PIDNN_16000,0.008353685727342963,0.0027449384797364473,0.01109862420707941,0.005608747247606516,0.3412468838762024
27,0.1,SIMULATION_30_40,PIDNN_32000,0.0032923545222729445,0.00041024480015039444,0.003702599322423339,0.00288210972212255,0.12525626209969953
28,0.1,SIMULATION_30_40,PIDNN_64000,0.006102988962084055,0.0025615342892706394,0.008664523251354694,0.0035414546728134155,0.4473496671755868
29,0.1,SIMULATION_30_40,PIDNN_128000,0.004970374284312129,0.0002210622187703848,0.005191436503082514,0.004749312065541744,0.044505331248552604
30,0.1,SIMULATION_80_90,FF_8000,1.1306002140045166,0.017321228981018066,1.1479214429855347,1.1132789850234985,0.015321582409526704
31,0.1,SIMULATION_80_90,FF_16000,0.897580623626709,0.23307716846466064,1.1306577920913696,0.6645034551620483,0.26575739072769833
32,0.1,SIMULATION_80_90,FF_32000,1.149563729763031,5.6684017181396484e-05,1.1496204137802124,1.1495070457458496,4.930915595173502e-05
33,0.1,SIMULATION_80_90,FF_64000,1.236172616481781,0.033054888248443604,1.2692275047302246,1.2031177282333374,0.026746078500504672
34,0.1,SIMULATION_80_90,FF_128000,1.2497947812080383,0.1114606261253357,1.361255407333374,1.1383341550827026,0.08942072067198614
35,0.1,SIMULATION_80_90,PIDNN_8000,0.03853519633412361,0.0,0.03853519633412361,0.03853519633412361,0.0
36,0.1,SIMULATION_80_90,PIDNN_16000,0.039632294327020645,0.0,0.039632294327020645,0.039632294327020645,0.0
37,0.1,SIMULATION_80_90,PIDNN_32000,0.675722436979413,0.641601724550128,1.317324161529541,0.03412071242928505,1.826726602630126
38,0.1,SIMULATION_80_90,PIDNN_64000,0.03939263895153999,0.0015784353017807007,0.040971074253320694,0.03781420364975929,0.04009076086245211
